measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Peru,Both,75 to 79,All causes,Number,2011,14228.304363254623,15063.389129597483,13331.573723070122
Deaths,Peru,Male,80 plus,All causes,Number,2011,20296.22885999073,21597.361857337757,18989.42220762504
Deaths,Peru,Female,80 plus,All causes,Number,2011,22016.230058497065,23567.07709890655,20614.575887489493
Deaths,Peru,Both,80 plus,All causes,Number,2011,42312.45891848773,44189.97286339742,40342.45707849686
Deaths,Peru,Male,All Ages,All causes,Number,2011,74441.62508281821,79864.80162085117,69089.30063108286
Deaths,Peru,Female,All Ages,All causes,Number,2011,62773.532274372585,67474.66884352885,58218.188070163924
Deaths,Peru,Both,All Ages,All causes,Number,2011,137215.1573571906,144063.12670975266,129939.6002691701
Deaths,Peru,Male,5-14 years,All causes,Number,2011,1456.2758916501955,1564.3869157237734,1358.4704623262162
Deaths,Peru,Female,5-14 years,All causes,Number,2011,1092.7068022386977,1163.3853763814598,1027.1469853974072
Deaths,Peru,Both,5-14 years,All causes,Number,2011,2548.98269388889,2717.3137834882414,2388.773802377355
Deaths,Peru,Male,15-49 years,All causes,Number,2011,13664.0682265228,14979.896783725731,12380.222428216179
Deaths,Peru,Female,15-49 years,All causes,Number,2011,8276.317705022126,9128.134875736112,7509.81700623569
Deaths,Peru,Both,15-49 years,All causes,Number,2011,21940.385931544948,23422.96251267423,20384.603944994236
Deaths,Peru,Male,50-69 years,All causes,Number,2011,16423.38321669,17948.289683953262,14922.983178257047
Deaths,Peru,Female,50-69 years,All causes,Number,2011,13258.376843873257,14506.662482143356,12153.269308569092
Deaths,Peru,Both,50-69 years,All causes,Number,2011,29681.760060563283,31502.604977546554,27708.534610545714
Deaths,Peru,Male,70+ years,All causes,Number,2011,34428.81623779361,36962.273503411845,31906.91073914174
Deaths,Peru,Female,70+ years,All causes,Number,2011,33795.55217117922,36477.405576386904,31406.38401472472
Deaths,Peru,Both,70+ years,All causes,Number,2011,68224.36840897283,71641.84429741511,64621.6245527312
Deaths,Peru,Male,<1 year,All causes,Number,2011,6922.195691894301,7856.274212405854,6133.425100890378
Deaths,Peru,Female,<1 year,All causes,Number,2011,5340.023658495155,6021.714228683757,4750.012881360553
Deaths,Peru,Both,<1 year,All causes,Number,2011,12262.21935038947,13848.780165023301,10861.377950039987
Deaths,Peru,Male,80 to 84,All causes,Number,2011,8055.93004232312,8656.9560988142,7458.219520507624
Deaths,Peru,Female,80 to 84,All causes,Number,2011,7666.737432789023,8301.630243255502,7101.771602513772
Deaths,Peru,Both,80 to 84,All causes,Number,2011,15722.667475112128,16530.218136587082,14870.30846057925
Deaths,Peru,Male,85 to 89,All causes,Number,2011,6620.93260916308,7039.646709972196,6197.672617763434
Deaths,Peru,Female,85 to 89,All causes,Number,2011,6963.885733905408,7456.790756025461,6515.287777716193
Deaths,Peru,Both,85 to 89,All causes,Number,2011,13584.81834306847,14191.208890680897,12952.682863896287
Deaths,Peru,Male,90 to 94,All causes,Number,2011,3722.1917596486114,3910.725301878526,3528.8703303843236
Deaths,Peru,Female,90 to 94,All causes,Number,2011,4777.02898285088,5056.608639768854,4522.438842452973
Deaths,Peru,Both,90 to 94,All causes,Number,2011,8499.220742499496,8814.428249742381,8174.296166719721
Deaths,Peru,Male,<20 years,All causes,Number,2011,11097.589255175637,12239.097978960453,10070.699401379408
Deaths,Peru,Female,<20 years,All causes,Number,2011,8174.343895534069,8980.645873178408,7449.829669797002
Deaths,Peru,Both,<20 years,All causes,Number,2011,19271.933150709694,21194.173331563583,17569.78740938424
Deaths,Peru,Male,10 to 24,All causes,Number,2011,3518.3898646842713,3818.4926910161603,3222.3603288672093
Deaths,Peru,Female,10 to 24,All causes,Number,2011,2064.645258414459,2227.8884831889136,1902.8683761125815
Deaths,Peru,Both,10 to 24,All causes,Number,2011,5583.0351230987335,5912.702681728663,5236.855928866998
Deaths,Peru,Male,10 to 54,All causes,Number,2011,17437.49402700033,19099.462047559336,15818.473433441477
Deaths,Peru,Female,10 to 54,All causes,Number,2011,11334.699535501468,12453.559780754264,10316.91330199943
Deaths,Peru,Both,10 to 54,All causes,Number,2011,28772.19356250178,30645.884436019096,26785.7475715659
Deaths,Peru,Male,95 plus,All causes,Number,2011,1897.1744488559266,1986.2354719901555,1804.8177707200812
Deaths,Peru,Female,95 plus,All causes,Number,2011,2608.5779089517314,2748.475697572813,2478.1849223936993
Deaths,Peru,Both,95 plus,All causes,Number,2011,4505.752357807658,4661.1414448409805,4341.1234496085835
Deaths,Peru,Male,<70 years,All causes,Number,2011,40012.808845024585,43094.58978711468,37027.887664027316
Deaths,Peru,Female,<70 years,All causes,Number,2011,28977.98010319331,31080.881706710108,26830.381049189004
Deaths,Peru,Both,<70 years,All causes,Number,2011,68990.78894821802,72862.39139835829,65101.436335372164
Deaths,Peru,Male,Under 5,All causes,Number,2010,8775.544325294028,9781.241099057192,7853.466556669856
Deaths,Peru,Female,Under 5,All causes,Number,2010,6480.065236396851,7209.425435975505,5792.33574684899
Deaths,Peru,Both,Under 5,All causes,Number,2010,15255.60956169086,16966.73340624377,13662.146943709156
Deaths,Peru,Male,Early Neonatal,All causes,Number,2010,3728.6539091732348,4308.444596363054,3204.235086376011
Deaths,Peru,Female,Early Neonatal,All causes,Number,2010,2420.563062037304,2838.989709657434,2041.1540979196402
Deaths,Peru,Both,Early Neonatal,All causes,Number,2010,6149.216971210544,7126.960913526615,5262.3621307836665
Deaths,Peru,Male,Late Neonatal,All causes,Number,2010,600.5856033997109,756.121800324401,474.5567944219947
Deaths,Peru,Female,Late Neonatal,All causes,Number,2010,728.8959578792814,907.4807763064844,581.5159055163249
Deaths,Peru,Both,Late Neonatal,All causes,Number,2010,1329.4815612789941,1581.198771202414,1104.9796992201072
Deaths,Peru,Male,Post Neonatal,All causes,Number,2010,2922.1736534970382,3432.488286186601,2455.3432256674664
Deaths,Peru,Female,Post Neonatal,All causes,Number,2010,2135.0806925809343,2499.245737829935,1792.8199866543825
Deaths,Peru,Both,Post Neonatal,All causes,Number,2010,5057.254346077974,5922.609294535352,4318.9881922124505
Deaths,Peru,Male,1 to 4,All causes,Number,2010,1524.131159224028,1900.6344079618825,1215.4809337522966
Deaths,Peru,Female,1 to 4,All causes,Number,2010,1195.5255238993348,1480.1847949160433,958.8923394340072
Deaths,Peru,Both,1 to 4,All causes,Number,2010,2719.656683123363,3389.8033522454507,2185.6352504324077
Deaths,Peru,Male,5 to 9,All causes,Number,2010,789.7406911669177,854.227950525587,729.2458027409523
Deaths,Peru,Female,5 to 9,All causes,Number,2010,564.9099414000154,606.5061147132192,522.2464580808427
Deaths,Peru,Both,5 to 9,All causes,Number,2010,1354.6506325669309,1462.379794376467,1253.7718096519377
Deaths,Peru,Male,10 to 14,All causes,Number,2010,680.4787292373252,718.6152416268384,638.1040875663423
Deaths,Peru,Female,10 to 14,All causes,Number,2010,522.1013510941189,553.2301976277623,490.0470578310358
Deaths,Peru,Both,10 to 14,All causes,Number,2010,1202.5800803314416,1264.5396819328269,1140.581396552541
Deaths,Peru,Male,15 to 19,All causes,Number,2010,1175.845979922106,1285.5698254098425,1073.5461571207159
Deaths,Peru,Female,15 to 19,All causes,Number,2010,756.8536255410195,821.3579157676322,694.3225169814737
Deaths,Peru,Both,15 to 19,All causes,Number,2010,1932.6996054631259,2059.4909141149033,1812.4950524060807
Deaths,Peru,Male,20 to 24,All causes,Number,2010,1728.0645088127271,1894.6704261768248,1575.8339933019327
Deaths,Peru,Female,20 to 24,All causes,Number,2010,858.5373072734419,939.3850605926979,780.0748353670641
Deaths,Peru,Both,20 to 24,All causes,Number,2010,2586.6018160861686,2762.814734750128,2417.0998601474926
Deaths,Peru,Male,25 to 29,All causes,Number,2010,1948.7381413724872,2126.1410931499013,1785.9835863087774
Deaths,Peru,Female,25 to 29,All causes,Number,2010,888.4209290141014,979.0334237551016,801.6994298931722
Deaths,Peru,Both,25 to 29,All causes,Number,2010,2837.1590703865904,3023.3769489537062,2653.7331135675568
Deaths,Peru,Male,30 to 34,All causes,Number,2010,1990.015537375562,2173.8064893669466,1821.5396320809368
Deaths,Peru,Female,30 to 34,All causes,Number,2010,1021.1761571913036,1126.253191613399,920.1079011788928
Deaths,Peru,Both,30 to 34,All causes,Number,2010,3011.191694566863,3206.193411615608,2815.8985194296897
Deaths,Peru,Male,35 to 39,All causes,Number,2010,2103.463732412559,2319.5344454749384,1906.2950125445682
Deaths,Peru,Female,35 to 39,All causes,Number,2010,1347.8673138764302,1505.5067930320902,1201.1065909450235
Deaths,Peru,Both,35 to 39,All causes,Number,2010,3451.3310462889913,3709.3906074348597,3207.554995374041
Deaths,Peru,Male,40 to 44,All causes,Number,2010,2329.1684711063413,2577.3190918391538,2103.343653605962
Deaths,Peru,Female,40 to 44,All causes,Number,2010,1619.1432423081935,1795.079832170073,1454.111684523307
Deaths,Peru,Both,40 to 44,All causes,Number,2010,3948.3117134145327,4239.750128226429,3671.0650036646066
Deaths,Peru,Male,45 to 49,All causes,Number,2010,2726.4290256629683,3022.0664752947264,2457.6809336095876
Deaths,Peru,Female,45 to 49,All causes,Number,2010,2006.7118386547118,2209.024428787879,1815.5537557113323
Deaths,Peru,Both,45 to 49,All causes,Number,2010,4733.140864317681,5073.476649749652,4406.596454730024
Deaths,Peru,Male,50 to 54,All causes,Number,2010,3173.0725620546773,3509.5106755976053,2866.5735373408215
Deaths,Peru,Female,50 to 54,All causes,Number,2010,2546.701441437861,2790.8725852886546,2314.8986298436853
Deaths,Peru,Both,50 to 54,All causes,Number,2010,5719.774003492542,6120.892336941693,5337.739985495643
Deaths,Peru,Male,55 to 59,All causes,Number,2010,3655.9682941860187,4023.601538610916,3319.5240264540143
Deaths,Peru,Female,55 to 59,All causes,Number,2010,3013.6093878930556,3295.7863248720155,2745.224245219196
Deaths,Peru,Both,55 to 59,All causes,Number,2010,6669.577682079082,7123.312429105608,6241.4787892957
Deaths,Peru,Male,60 to 64,All causes,Number,2010,4445.950299201951,4859.8610145164575,4064.834852510156
Deaths,Peru,Female,60 to 64,All causes,Number,2010,3564.991759639749,3888.7949265988073,3256.8951526644746
Deaths,Peru,Both,60 to 64,All causes,Number,2010,8010.942058841694,8528.727331139225,7524.184567324308
Deaths,Peru,Male,65 to 69,All causes,Number,2010,5176.269244841316,5649.481661106799,4739.690009570742
Deaths,Peru,Female,65 to 69,All causes,Number,2010,4179.572263073128,4567.641000004949,3810.7620089728134
Deaths,Peru,Both,65 to 69,All causes,Number,2010,9355.841507914445,9955.047697969288,8787.76809026382
Deaths,Peru,Male,70 to 74,All causes,Number,2010,6425.496788012234,7010.869741433013,5884.702717480378
Deaths,Peru,Female,70 to 74,All causes,Number,2010,5347.116417219791,5858.646601478944,4861.533187192166
Deaths,Peru,Both,70 to 74,All causes,Number,2010,11772.613205232024,12520.431606766108,11049.438777636065
Deaths,Peru,Male,75 to 79,All causes,Number,2010,7714.905178238205,8398.945042638794,7081.155188267938
Deaths,Peru,Female,75 to 79,All causes,Number,2010,6654.104783394101,7276.813014760425,6061.971970624938
Deaths,Peru,Both,75 to 79,All causes,Number,2010,14369.009961632293,15263.428948531235,13506.63805902049
Deaths,Peru,Male,80 plus,All causes,Number,2010,19585.29672490316,20876.64803023748,18375.567430555442
Deaths,Peru,Female,80 plus,All causes,Number,2010,21371.497573372817,22859.148601030116,19944.404374499896
Deaths,Peru,Both,80 plus,All causes,Number,2010,40956.794298275934,42843.6750000964,39087.6994760119
Deaths,Peru,Male,All Ages,All causes,Number,2010,74424.44823380053,79686.78417909141,69333.03223888035
Deaths,Peru,Female,All Ages,All causes,Number,2010,62743.380568780674,67499.53086180655,58105.624804312494
Deaths,Peru,Both,All Ages,All causes,Number,2010,137167.8288025812,144446.15087165806,130270.34946968121
Deaths,Peru,Male,5-14 years,All causes,Number,2010,1470.2194204042435,1568.659476856427,1372.4331124538348
Deaths,Peru,Female,5-14 years,All causes,Number,2010,1087.0112924941343,1155.6380666302985,1021.905215227356
Deaths,Peru,Both,5-14 years,All causes,Number,2010,2557.230712898378,2714.0974366855507,2400.8866255167427
Deaths,Peru,Male,15-49 years,All causes,Number,2010,14001.725396664753,15399.14321456627,12725.650201695866
Deaths,Peru,Female,15-49 years,All causes,Number,2010,8498.710413859197,9390.104141014446,7657.942828125561
Deaths,Peru,Both,15-49 years,All causes,Number,2010,22500.43581052393,24040.58765171439,20965.82026506712
Deaths,Peru,Male,50-69 years,All causes,Number,2010,16451.260400283976,18042.45488983178,14990.622425875732
Deaths,Peru,Female,50-69 years,All causes,Number,2010,13304.874852043788,14543.094836764427,12127.780036700167
Deaths,Peru,Both,50-69 years,All causes,Number,2010,29756.13525232773,31738.130924221816,27890.934056177543
Deaths,Peru,Male,70+ years,All causes,Number,2010,33725.69869115361,36286.9822348782,31336.01056448948
Deaths,Peru,Female,70+ years,All causes,Number,2010,33372.71877398673,35989.71471326197,30869.790390996186
Deaths,Peru,Both,70+ years,All causes,Number,2010,67098.4174651403,70605.81212226996,63641.55525943959
Deaths,Peru,Male,<1 year,All causes,Number,2010,7251.413166069991,8112.832048913444,6468.109158636899
Deaths,Peru,Female,<1 year,All causes,Number,2010,5284.539712497521,5917.852819055062,4697.189971109908
Deaths,Peru,Both,<1 year,All causes,Number,2010,12535.952878567517,13998.375488868709,11177.116212331728
Deaths,Peru,Male,80 to 84,All causes,Number,2010,7823.285319601909,8421.472825591514,7264.8481719424035
Deaths,Peru,Female,80 to 84,All causes,Number,2010,7484.06107347611,8093.601841463295,6900.439284885808
Deaths,Peru,Both,80 to 84,All causes,Number,2010,15307.346393078034,16127.505834945789,14501.349984754474
Deaths,Peru,Male,85 to 89,All causes,Number,2010,6385.547447094157,6800.8706333299515,5996.714889732904
Deaths,Peru,Female,85 to 89,All causes,Number,2010,6825.251101698587,7305.059487139518,6368.443576155508
Deaths,Peru,Both,85 to 89,All causes,Number,2010,13210.798548792753,13818.085917788516,12609.141724422901
Deaths,Peru,Male,90 to 94,All causes,Number,2010,3586.0881839972126,3775.5846628052727,3406.7812853262203
Deaths,Peru,Female,90 to 94,All causes,Number,2010,4618.567463850711,4887.16615897803,4361.241746026872
Deaths,Peru,Both,90 to 94,All causes,Number,2010,8204.655647847918,8521.837985593314,7885.972955103054
Deaths,Peru,Male,<20 years,All causes,Number,2010,11421.609725620372,12525.646935668847,10402.81702414564
Deaths,Peru,Female,<20 years,All causes,Number,2010,8323.930154432011,9131.66886122836,7568.305318580359
Deaths,Peru,Both,<20 years,All causes,Number,2010,19745.539880052336,21609.81152554749,17962.087102949718
Deaths,Peru,Male,10 to 24,All causes,Number,2010,3584.3892179721515,3880.3824697099244,3305.9828956009233
Deaths,Peru,Female,10 to 24,All causes,Number,2010,2137.492283908576,2310.8998700052653,1968.7693750094988
Deaths,Peru,Both,10 to 24,All causes,Number,2010,5721.881501880733,6070.545048546316,5382.5060135031335
Deaths,Peru,Male,10 to 54,All causes,Number,2010,17855.27668795676,19608.982287191477,16264.461917118122
Deaths,Peru,Female,10 to 54,All causes,Number,2010,11567.513206391175,12732.976639701035,10464.115188272768
Deaths,Peru,Both,10 to 54,All causes,Number,2010,29422.78989434792,31374.652964840287,27482.92705630912
Deaths,Peru,Male,95 plus,All causes,Number,2010,1790.3757742098862,1877.5663310456425,1706.8860312322504
Deaths,Peru,Female,95 plus,All causes,Number,2010,2443.6179343474173,2573.321113449273,2314.3970129218683
Deaths,Peru,Both,95 plus,All causes,Number,2010,4233.993708557302,4386.987546738808,4080.0859078699473
Deaths,Peru,Male,<70 years,All causes,Number,2010,40698.749542646954,43573.478723471526,37827.12560460871
Deaths,Peru,Female,<70 years,All causes,Number,2010,29370.661794794032,31603.804360053357,27139.51884664921
Deaths,Peru,Both,<70 years,All causes,Number,2010,70069.41133744092,73980.32889313885,66258.41130356927
Deaths,Peru,Male,Under 5,All causes,Number,2009,8983.471167362823,10062.489451128515,8115.876522971557
Deaths,Peru,Female,Under 5,All causes,Number,2009,6637.178605751538,7381.178659224784,5986.452433537949
Deaths,Peru,Both,Under 5,All causes,Number,2009,15620.649773114406,17443.525587265296,14124.735466478558
Deaths,Peru,Male,Early Neonatal,All causes,Number,2009,3536.9238066269236,4055.2545158352964,3054.169004439143
Deaths,Peru,Female,Early Neonatal,All causes,Number,2009,2335.5392690335475,2661.669124693879,2047.950610717055
Deaths,Peru,Both,Early Neonatal,All causes,Number,2009,5872.46307566047,6693.9646592939935,5135.4478237279045
Deaths,Peru,Male,Late Neonatal,All causes,Number,2009,626.4942858634639,771.11245811396,500.1559859226162
Deaths,Peru,Female,Late Neonatal,All causes,Number,2009,698.2595550629662,843.5810017953742,581.350077239187
Deaths,Peru,Both,Late Neonatal,All causes,Number,2009,1324.7538409264312,1552.5986287614467,1130.1783097911705
Deaths,Peru,Male,Post Neonatal,All causes,Number,2009,3187.2211116146145,3736.8885097568977,2714.067114694231
Deaths,Peru,Female,Post Neonatal,All causes,Number,2009,2240.79549685814,2640.4680579490014,1884.1169815782303
Deaths,Peru,Both,Post Neonatal,All causes,Number,2009,5428.016608472747,6377.1614149771385,4602.688096260922
Deaths,Peru,Male,1 to 4,All causes,Number,2009,1632.831963257827,1997.10904170844,1316.4128096776456
Deaths,Peru,Female,1 to 4,All causes,Number,2009,1362.5842847968995,1663.056706960816,1100.8956864348447
Deaths,Peru,Both,1 to 4,All causes,Number,2009,2995.416248054723,3648.7137019912393,2419.128074287525
Deaths,Peru,Male,5 to 9,All causes,Number,2009,775.3369587128755,838.3638991431625,718.8045822924669
Deaths,Peru,Female,5 to 9,All causes,Number,2009,545.0846432426141,588.6900235761119,507.7322754380002
Deaths,Peru,Both,5 to 9,All causes,Number,2009,1320.4216019554892,1429.274846858373,1227.6223699993977
Deaths,Peru,Male,10 to 14,All causes,Number,2009,722.4244719626603,764.2276248729258,682.9379037707727
Deaths,Peru,Female,10 to 14,All causes,Number,2009,515.3331020166478,546.8135421705265,483.12955413057006
Deaths,Peru,Both,10 to 14,All causes,Number,2009,1237.7575739793087,1302.6180581705446,1178.1504879315837
Deaths,Peru,Male,15 to 19,All causes,Number,2009,1178.5971097543352,1281.4311508668181,1080.894876912873
Deaths,Peru,Female,15 to 19,All causes,Number,2009,778.2581923552101,840.5967666140205,715.9001499618431
Deaths,Peru,Both,15 to 19,All causes,Number,2009,1956.8553021095474,2077.4046967627687,1842.5724620078586
Deaths,Peru,Male,20 to 24,All causes,Number,2009,1748.985159559375,1898.0956835998575,1603.592707619041
Deaths,Peru,Female,20 to 24,All causes,Number,2009,887.4755765125958,965.6731551149119,809.7359248795661
Deaths,Peru,Both,20 to 24,All causes,Number,2009,2636.460736071972,2804.4321828046877,2467.260847071492
Deaths,Peru,Male,25 to 29,All causes,Number,2009,1938.6084979962388,2094.561976353207,1784.4400111116463
Deaths,Peru,Female,25 to 29,All causes,Number,2009,899.685127824215,983.9440998994813,817.2148399234328
Deaths,Peru,Both,25 to 29,All causes,Number,2009,2838.293625820452,3014.709228600018,2661.752304080171
Deaths,Peru,Male,30 to 34,All causes,Number,2009,2003.163118077135,2167.271793215305,1841.1600540768095
Deaths,Peru,Female,30 to 34,All causes,Number,2009,1026.6902038797764,1123.9826215371424,931.5718625194407
Deaths,Peru,Both,30 to 34,All causes,Number,2009,3029.853321956913,3219.9243249328288,2838.0215749181634
Deaths,Peru,Male,35 to 39,All causes,Number,2009,2116.076176411747,2307.4289011307915,1930.6230027812971
Deaths,Peru,Female,35 to 39,All causes,Number,2009,1339.251653973772,1485.1531744165236,1197.8622671521648
Deaths,Peru,Both,35 to 39,All causes,Number,2009,3455.3278303855213,3696.3149269756627,3218.502932529786
Deaths,Peru,Male,40 to 44,All causes,Number,2009,2286.900882485477,2501.197366949688,2079.311210793321
Deaths,Peru,Female,40 to 44,All causes,Number,2009,1635.0128450895638,1800.7860051031555,1473.3708934678268
Deaths,Peru,Both,40 to 44,All causes,Number,2009,3921.913727575048,4193.139523081745,3656.6295853934184
Deaths,Peru,Male,45 to 49,All causes,Number,2009,2739.2702368511054,3000.8842874863744,2485.9098451036148
Deaths,Peru,Female,45 to 49,All causes,Number,2009,1986.3928387459791,2173.99858475015,1802.357549808798
Deaths,Peru,Both,45 to 49,All causes,Number,2009,4725.66307559708,5049.4775202667615,4405.962672446736
Deaths,Peru,Male,50 to 54,All causes,Number,2009,3093.3479157921747,3382.5955289103667,2812.770793644431
Deaths,Peru,Female,50 to 54,All causes,Number,2009,2522.794574937297,2749.9519248927263,2299.067637253768
Deaths,Peru,Both,50 to 54,All causes,Number,2009,5616.142490729475,5983.792662224466,5256.41947601747
Deaths,Peru,Male,55 to 59,All causes,Number,2009,3574.883218302748,3892.570992903478,3265.842349498229
Deaths,Peru,Female,55 to 59,All causes,Number,2009,2941.834798876422,3200.9135337986168,2686.2505468620484
Deaths,Peru,Both,55 to 59,All causes,Number,2009,6516.718017179168,6926.021015747105,6111.699428944297
Deaths,Peru,Male,60 to 64,All causes,Number,2009,4328.934406605759,4685.69426772938,3980.815273165562
Deaths,Peru,Female,60 to 64,All causes,Number,2009,3470.7314242690113,3767.5821980404357,3177.7172658743602
Deaths,Peru,Both,60 to 64,All causes,Number,2009,7799.665830874771,8263.573257278065,7338.830403028696
Deaths,Peru,Male,65 to 69,All causes,Number,2009,5046.697858340797,5455.505298295804,4647.497706522636
Deaths,Peru,Female,65 to 69,All causes,Number,2009,4119.86059172518,4479.85125594919,3764.8608467801682
