location,sex,age,cause,metric,year,val,upper,lower
Peru,Female,5-14 years,All causes,Number,2011,1092.706802,1163.385376,1027.146985
Peru,Both,5-14 years,All causes,Number,2011,2548.982694,2717.313783,2388.773802
Peru,Male,15-49 years,All causes,Number,2011,13664.06823,14979.89678,12380.22243
Peru,Female,15-49 years,All causes,Number,2011,8276.317705,9128.134876,7509.817006
Peru,Both,15-49 years,All causes,Number,2011,21940.38593,23422.96251,20384.60394
Peru,Male,50-69 years,All causes,Number,2011,16423.38322,17948.28968,14922.98318
Peru,Female,50-69 years,All causes,Number,2011,13258.37684,14506.66248,12153.26931
Peru,Both,50-69 years,All causes,Number,2011,29681.76006,31502.60498,27708.53461
Peru,Male,70+ years,All causes,Number,2011,34428.81624,36962.2735,31906.91074
Peru,Female,70+ years,All causes,Number,2011,33795.55217,36477.40558,31406.38401
Peru,Both,70+ years,All causes,Number,2011,68224.36841,71641.8443,64621.62455
Peru,Male,<1 year,All causes,Number,2011,6922.195692,7856.274212,6133.425101
Peru,Female,<1 year,All causes,Number,2011,5340.023658,6021.714229,4750.012881
Peru,Both,<1 year,All causes,Number,2011,12262.21935,13848.78017,10861.37795
Peru,Male,80 to 84,All causes,Number,2011,8055.930042,8656.956099,7458.219521
Peru,Female,80 to 84,All causes,Number,2011,7666.737433,8301.630243,7101.771603
Peru,Both,80 to 84,All causes,Number,2011,15722.66748,16530.21814,14870.30846
Peru,Male,85 to 89,All causes,Number,2011,6620.932609,7039.64671,6197.672618
Peru,Female,85 to 89,All causes,Number,2011,6963.885734,7456.790756,6515.287778
Peru,Both,85 to 89,All causes,Number,2011,13584.81834,14191.20889,12952.68286
Peru,Male,90 to 94,All causes,Number,2011,3722.19176,3910.725302,3528.87033
Peru,Female,90 to 94,All causes,Number,2011,4777.028983,5056.60864,4522.438842
Peru,Both,90 to 94,All causes,Number,2011,8499.220742,8814.42825,8174.296167
Peru,Male,<20 years,All causes,Number,2011,11097.58926,12239.09798,10070.6994
Peru,Female,<20 years,All causes,Number,2011,8174.343896,8980.645873,7449.82967
Peru,Both,<20 years,All causes,Number,2011,19271.93315,21194.17333,17569.78741
Peru,Male,10 to 24,All causes,Number,2011,3518.389865,3818.492691,3222.360329
Peru,Female,10 to 24,All causes,Number,2011,2064.645258,2227.888483,1902.868376
Peru,Both,10 to 24,All causes,Number,2011,5583.035123,5912.702682,5236.855929
Peru,Male,10 to 54,All causes,Number,2011,17437.49403,19099.46205,15818.47343
Peru,Female,10 to 54,All causes,Number,2011,11334.69954,12453.55978,10316.9133
Peru,Both,10 to 54,All causes,Number,2011,28772.19356,30645.88444,26785.74757
Peru,Male,95 plus,All causes,Number,2011,1897.174449,1986.235472,1804.817771
Peru,Female,95 plus,All causes,Number,2011,2608.577909,2748.475698,2478.184922
Peru,Both,95 plus,All causes,Number,2011,4505.752358,4661.141445,4341.12345
Peru,Male,<70 years,All causes,Number,2011,40012.80885,43094.58979,37027.88766
Peru,Female,<70 years,All causes,Number,2011,28977.9801,31080.88171,26830.38105
Peru,Both,<70 years,All causes,Number,2011,68990.78895,72862.3914,65101.43634
Peru,Male,Under 5,All causes,Number,2010,8775.544325,9781.241099,7853.466557
Peru,Female,Under 5,All causes,Number,2010,6480.065236,7209.425436,5792.335747
Peru,Both,Under 5,All causes,Number,2010,15255.60956,16966.73341,13662.14694
Peru,Male,Early Neonatal,All causes,Number,2010,3728.653909,4308.444596,3204.235086
Peru,Female,Early Neonatal,All causes,Number,2010,2420.563062,2838.98971,2041.154098
Peru,Both,Early Neonatal,All causes,Number,2010,6149.216971,7126.960914,5262.362131
Peru,Male,Late Neonatal,All causes,Number,2010,600.5856034,756.1218003,474.5567944
Peru,Female,Late Neonatal,All causes,Number,2010,728.8959579,907.4807763,581.5159055
Peru,Both,Late Neonatal,All causes,Number,2010,1329.481561,1581.198771,1104.979699
